divname,divrating,plusminus,season,teamid,teamname,type,year,observed_ratings
4/3 Div 1,1800.0,3.0,Summer,40546,AHOC,Club,2016,1980.0
4/3 Div 1,1800.0,-1.0,Summer,40291,BBN,Club,2016,1740.0
4/3 Div 1,1800.0,,Summer,40612,FlowChart,Club,2016,
4/3 Div 1,1800.0,-3.0,Summer,40288,Gothrilla,Club,2016,1620.0
4/3 Div 1,1800.0,7.0,Summer,40540,GrassBurner,Club,2016,2220.0
4/3 Div 1,1800.0,-2.0,Summer,40583,"Live Poultry, Fresh Killed (LPFK)",Club,2016,1680.0
4/3 Div 1,1800.0,-1.0,Summer,40590,Swingers,Club,2016,1740.0
4/3 Div 1,1800.0,-0.666666666667,Summer,40593,TuneSquad,Club,2016,1760.0
4/3 Div 1,1800.0,-3.0,Summer,40289,Turtle Boy,Club,2016,1620.0
4/3 Div 1,1800.0,6.0,Summer,40539,Zerg Rush!,Club,2016,2160.0
4/3 Div 2,1400.0,1.5,Summer,40607,A Lil Bit Sticky,Club,2016,1490.0
4/3 Div 2,1400.0,,Summer,40617,Booooooosh!,Club,2016,
4/3 Div 2,1400.0,2.33333333333,Summer,40586,Disc Envy,Club,2016,1540.0
4/3 Div 2,1400.0,-6.5,Summer,40534,Dominion,Club,2016,1010.0
4/3 Div 2,1400.0,-2.0,Summer,40446,Fetch,Club,2016,1280.0
4/3 Div 2,1400.0,-1.0,Summer,40530,Flaming Croissants,Club,2016,1340.0
4/3 Div 2,1400.0,,Summer,40603,Hipster Kitties,Club,2016,
4/3 Div 2,1400.0,5.5,Summer,40598,Injustice League,Club,2016,1730.0
4/3 Div 2,1400.0,5.5,Summer,40293,Jack's Abby HAOS Lager,Club,2016,1730.0
4/3 Div 2,1400.0,-4.0,Summer,40542,JHOP,Club,2016,1160.0
4/3 Div 2,1400.0,-5.0,Summer,40294,Lady and the BAMF,Club,2016,1100.0
4/3 Div 2,1400.0,-7.5,Summer,40584,Moose Lightning,Club,2016,950.0
4/3 Div 2,1400.0,-3.0,Summer,40533,Nerd Alert ,Club,2016,1220.0
4/3 Div 2,1400.0,8.5,Summer,40295,Puddingstone,Club,2016,1910.0
4/3 Div 2,1400.0,,Summer,40308,Rogues' Gallery,Club,2016,
4/3 Div 2,1400.0,3.5,Summer,40541,Rubs The Duckie,Club,2016,1610.0
4/3 Div 2,1400.0,-10.5,Summer,40599,Scoobers in Scotland,Club,2016,770.0
4/3 Div 2,1400.0,-1.0,Summer,40297,Store Bought Dirt,Club,2016,1340.0
4/3 Div 2,1400.0,0.666666666667,Summer,40588,Toads,Club,2016,1440.0
4/3 Div 2,1400.0,-5.0,Summer,40608,Tubbs,Club,2016,1100.0
4/3 Div 2,1400.0,-9.33333333333,Summer,40597,TuneSquad Squared,Club,2016,840.0
4/3 Div 2,1400.0,3.0,Summer,40547,Upstream,Club,2016,1580.0
4/3 Div 3,1000.0,-5.0,Summer,40614,123 Trap!,Club,2016,700.0
4/3 Div 3,1000.0,0.0,Summer,40532,Baboon Heart,Club,2016,1000.0
4/3 Div 3,1000.0,-0.5,Summer,40535,Batman and the Robins,Club,2016,970.0
4/3 Div 3,1000.0,5.5,Summer,40527,Oddjob,Club,2016,1330.0
4/3 Div 3,1000.0,3.0,Summer,40286,Stack to the Future,Club,2016,1180.0
4/3 Div 3,1000.0,-4.0,Summer,40595,Too Drunk to Fail,Club,2016,760.0
4/3 Div 3,1000.0,-3.0,Summer,40582,Top Shelf,Club,2016,820.0
4/3 Div 3,1000.0,,Summer,40609,Underwater Monkey Cowboys,Club,2016,
5/2 Div 1,1700.0,-6.0,Summer,40610,Shake and Bake,Club,2016,1340.0
5/2 Div 1,1700.0,10.0,Summer,40600,SnakeCountryBromance,Club,2016,2300.0
5/2 Div 1,1700.0,2.0,Summer,40450,Stonecutters,Club,2016,1820.0
5/2 Div 2,1300.0,,Summer,40604,Baba Yaga,Club,2016,
5/2 Div 2,1300.0,,Summer,40606,Bacon,Club,2016,
5/2 Div 2,1300.0,8.5,Summer,40447,Get Flat Ultimate,Club,2016,1810.0
5/2 Div 2,1300.0,,Summer,40618,Hippos,Club,2016,
5/2 Div 2,1300.0,,Summer,40611,Hucky McThrowandcatch,Club,2016,
5/2 Div 2,1300.0,,Summer,40601,Iron Squids,Club,2016,
5/2 Div 2,1300.0,,Summer,40531,JuJu Hex,Club,2016,
